year,region_id,region_name,ons_code,total_link_length_km,total_link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,all_hgvs,all_motor_vehicles
2020,6,London,E12000007,14806.324,9200.22,589104523.2,537896966.1,13904570566,229398015.6,3213964497,626388335.4,18512218380
2019,6,London,E12000007,14814.849,9205.52,403724392.8,558333109.3,17471458929,290449168.3,3673553062,617167148.5,22610961417
2018,6,London,E12000007,14807.7285,9201.1,445769368.1,517717266.6,16934255386,337152571.6,3620675944,613998837.6,22023800006
2017,6,London,E12000007,14842.02,9222.4,432635033.7,505459612.9,16366546422,332057727.1,3510494551,617241849.6,21331800163
2016,6,London,E12000007,14833.53,9217.13,436682641.1,497461453.7,15951254954,338716919.8,3366431900,649620605.1,20803485833
2015,6,London,E12000007,14796.15,9193.9,375044947.8,433875632.4,15902235039,347806354.7,2911512722,668815094,20264244842
2014,6,London,E12000007,14842.84,9222.91,375712141.2,420265200.7,15782871411,357612058.6,2838823044,646676139.1,20046247854
2013,6,London,E12000007,14829.63798,9214.71,341117115.5,399373898.9,15370714172,362018434.9,2631961164,646511513,19410579183
2012,6,London,E12000007,14814.53333,9205.32,361875397.7,429203086.1,15286467992,363490896.9,2519685433,653157186.5,19252004595
2011,6,London,E12000007,14800.1,9196.36,359039836.8,430343219.5,15210519261,369613437.8,2479579125,627982307.2,19118037350
2010,6,London,E12000007,14819.1,9208.16,363403671.3,442284153.7,15348108892,377459057.9,2453383816,628321986.2,19249557906
2009,6,London,E12000007,14800.6,9196.67,355481320.8,462065192.2,14866351046,370475465.4,2374791144,611868030.1,18685550878
2008,6,London,E12000007,14795.8,9193.68,352374675.6,466636713.4,14836829790,369623179.9,2486192753,651506030.9,18810788467
2007,6,London,E12000007,14783.53,9186.06,336719859.6,539610407.5,15136619678,384344878.5,2654205178,645376391.5,19360156533
2006,6,London,E12000007,14745.6,9162.49,366884402.2,512070374.1,15416986351,385027940.3,2596731015,657110061.6,19567925742
2005,6,London,E12000007,14741.26,9159.79,343325418.5,501733510.9,15593425916,361257547.3,2363789895,676214655.1,19496421525
2004,6,London,E12000007,14681.11,9122.42,308670156.6,485436621.8,15777011140,362207847,2336686655,670813208.3,19632155473
2003,6,London,E12000007,14712.919,9142.18,322896279.5,521178529.1,15945187831,353314332.5,2364957302,665482432.2,19850120427
2002,6,London,E12000007,14678.82,9121,301259756.8,463944645.5,16311619508,326102983.2,2205023313,663797832.2,19970488282
2001,6,London,E12000007,14640.3,9097.06,296408551.8,466169332.2,16338875719,315012873.9,2244442821,679953849.2,20044454595
2000,6,London,E12000007,14603.8,9074.38,281821669.2,441183501.9,16459260450,318920713.4,2231813825,696619022.7,20147797513
1999,6,London,E12000007,14568.8,9052.63,280890196.3,443327769.6,16643703367,329838559.7,2224171241,673954227.3,20314995165
1998,6,London,E12000007,14522.653,9023.96,274373262,406487340.8,16283308786,317414928.1,2113837704,698617266.4,19819666025
1997,6,London,E12000007,14488.181,9002.54,289071611.2,398619504,16229364578,314991087.1,2105300590,646065140.2,19694340900
1996,6,London,E12000007,14447.847,8977.48,290086737.2,375007351.4,16161496041,309645522,2055511726,647228258.2,19548888898
1995,6,London,E12000007,14417.874,8958.85,283281209,359949252,16003118474,303703016.9,2086965123,608710580.8,19362446447
1994,6,London,E12000007,14384.456,8938.09,278444620.3,369381223,16062813080,281777122.2,2010909656,623650502.9,19348531584
1993,6,London,E12000007,14350.446,8916.95,272100966.6,358164818.1,15882516784,273427838.3,1928560010,640877762,19083547212
