streetName,closure,directions,lineString,distruptedStreetId,disruptionId,startLat,startLon,endLat,endLon,severity,category,subCategory,comments,startDateTime,endDateTime,levelOfInterest,location,recurringSchedules
"[A306] Hammersmith Bridge (W6,SW13)",Full Closure,Both Directions,"[[-0.227466,51.491015],[-0.227506,51.490984]]",TIMS-213175119514,TIMS-213175,51.491015,-0.227466,51.490984,-0.2275059999999999,Severe,Infrastructure Issue,Other,[A306] Hammersmith Bridge (W6) (Both Directions) - The bridge is closed to all modes of transport excluding pedestrians and cyclists.,2019-04-11T07:56:00Z,2023-01-07T23:59:00Z,High,"[A306] Hammersmith Bridge (W6,SW13) (Hammersmith & Fulham,Richmond Upon Thames)",[]
"[A306] Hammersmith Bridge (W6,SW13)",Full Closure,Both Directions,"[[-0.228829,51.489684],[-0.228749,51.48976]]",TIMS-213175119515,TIMS-213175,51.489684,-0.2288289999999999,51.48976,-0.2287489999999999,Severe,Infrastructure Issue,Other,[A306] Hammersmith Bridge (W6) (Both Directions) - The bridge is closed to all modes of transport excluding pedestrians and cyclists.,2019-04-11T07:56:00Z,2023-01-07T23:59:00Z,High,"[A306] Hammersmith Bridge (W6,SW13) (Hammersmith & Fulham,Richmond Upon Thames)",[]
"[A306] Hammersmith Bridge (W6,SW13)",Full Closure,Both Directions,"[[-0.227386,51.491107],[-0.227466,51.491015]]",TIMS-213175119516,TIMS-213175,51.491107,-0.2273859999999999,51.491015,-0.227466,Severe,Infrastructure Issue,Other,[A306] Hammersmith Bridge (W6) (Both Directions) - The bridge is closed to all modes of transport excluding pedestrians and cyclists.,2019-04-11T07:56:00Z,2023-01-07T23:59:00Z,High,"[A306] Hammersmith Bridge (W6,SW13) (Hammersmith & Fulham,Richmond Upon Thames)",[]
"[A306] Hammersmith Bridge (W6,SW13)",Full Closure,Both Directions,"[[-0.231574,51.487046],[-0.23168,51.486939]]",TIMS-213175119517,TIMS-213175,51.487046,-0.231574,51.486939,-0.23168,Severe,Infrastructure Issue,Other,[A306] Hammersmith Bridge (W6) (Both Directions) - The bridge is closed to all modes of transport excluding pedestrians and cyclists.,2019-04-11T07:56:00Z,2023-01-07T23:59:00Z,High,"[A306] Hammersmith Bridge (W6,SW13) (Hammersmith & Fulham,Richmond Upon Thames)",[]
"[A306] Hammersmith Bridge (W6,SW13)",Full Closure,Both Directions,"[[-0.228749,51.48976],[-0.228186,51.490309]]",TIMS-213175119518,TIMS-213175,51.48976,-0.2287489999999999,51.490309,-0.228186,Severe,Infrastructure Issue,Other,[A306] Hammersmith Bridge (W6) (Both Directions) - The bridge is closed to all modes of transport excluding pedestrians and cyclists.,2019-04-11T07:56:00Z,2023-01-07T23:59:00Z,High,"[A306] Hammersmith Bridge (W6,SW13) (Hammersmith & Fulham,Richmond Upon Thames)",[]
"[A306] Hammersmith Bridge (W6,SW13)",Full Closure,Both Directions,"[[-0.231494,51.48713],[-0.231319,51.487301]]",TIMS-213175119519,TIMS-213175,51.48713,-0.2314939999999999,51.487301,-0.231319,Severe,Infrastructure Issue,Other,[A306] Hammersmith Bridge (W6) (Both Directions) - The bridge is closed to all modes of transport excluding pedestrians and cyclists.,2019-04-11T07:56:00Z,2023-01-07T23:59:00Z,High,"[A306] Hammersmith Bridge (W6,SW13) (Hammersmith & Fulham,Richmond Upon Thames)",[]
"[A306] Hammersmith Bridge (W6,SW13)",Full Closure,Both Directions,"[[-0.232744,51.485917],[-0.232939,51.485732]]",TIMS-213175119520,TIMS-213175,51.485917,-0.2327439999999999,51.485732,-0.2329389999999999,Severe,Infrastructure Issue,Other,[A306] Hammersmith Bridge (W6) (Both Directions) - The bridge is closed to all modes of transport excluding pedestrians and cyclists.,2019-04-11T07:56:00Z,2023-01-07T23:59:00Z,High,"[A306] Hammersmith Bridge (W6,SW13) (Hammersmith & Fulham,Richmond Upon Thames)",[]
"[A306] Hammersmith Bridge (W6,SW13)",Full Closure,Both Directions,"[[-0.228186,51.490309],[-0.228247,51.490624]]",TIMS-213175119521,TIMS-213175,51.490309,-0.228186,51.490624,-0.2282469999999999,Severe,Infrastructure Issue,Other,[A306] Hammersmith Bridge (W6) (Both Directions) - The bridge is closed to all modes of transport excluding pedestrians and cyclists.,2019-04-11T07:56:00Z,2023-01-07T23:59:00Z,High,"[A306] Hammersmith Bridge (W6,SW13) (Hammersmith & Fulham,Richmond Upon Thames)",[]
"[A306] Hammersmith Bridge (W6,SW13)",Full Closure,Both Directions,"[[-0.228829,51.489684],[-0.230455,51.488122]]",TIMS-213175119522,TIMS-213175,51.489684,-0.2288289999999999,51.488122,-0.230455,Severe,Infrastructure Issue,Other,[A306] Hammersmith Bridge (W6) (Both Directions) - The bridge is closed to all modes of transport excluding pedestrians and cyclists.,2019-04-11T07:56:00Z,2023-01-07T23:59:00Z,High,"[A306] Hammersmith Bridge (W6,SW13) (Hammersmith & Fulham,Richmond Upon Thames)",[]
"[A306] Hammersmith Bridge (W6,SW13)",Full Closure,Both Directions,"[[-0.231847,51.486761],[-0.232038,51.48658]]",TIMS-213175119523,TIMS-213175,51.486761,-0.231847,51.48658,-0.232038,Severe,Infrastructure Issue,Other,[A306] Hammersmith Bridge (W6) (Both Directions) - The bridge is closed to all modes of transport excluding pedestrians and cyclists.,2019-04-11T07:56:00Z,2023-01-07T23:59:00Z,High,"[A306] Hammersmith Bridge (W6,SW13) (Hammersmith & Fulham,Richmond Upon Thames)",[]
