id,url,commonName,placeType,additionalProperties,children,childrenUrls,lat,lon
LscpCams_451,/Place/LscpCams_451,A3211 Upper Thames Street between London Bridge and Southwark Bridge,SpeedCam,"[{'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'speedLimit', 'sourceSystemKey': 'LscpCams', 'value': '30', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'lscpType', 'sourceSystemKey': 'LscpCams', 'value': 'Fixed Digital', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'siteLength', 'sourceSystemKey': 'LscpCams', 'value': '0.41', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'address', 'key': 'borough', 'sourceSystemKey': 'LscpCams', 'value': 'City of London', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'address', 'key': 'authority', 'sourceSystemKey': 'LscpCams', 'value': 'Transport for London', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'road1', 'sourceSystemKey': 'LscpCams', 'value': 'A3211 Upper Thames Street', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'road2', 'sourceSystemKey': 'LscpCams', 'value': ' Angel Passage', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'time', 'key': 'dateEstablished', 'sourceSystemKey': 'LscpCams', 'value': '01/11/2004', 'modified': '2022-10-27T15:08:23.643Z'}]",[],[],51.5107,-0.091901
LscpCams_448,/Place/LscpCams_448,A10 Great Cambridge Road north of The Fairway,SpeedCam,"[{'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'speedLimit', 'sourceSystemKey': 'LscpCams', 'value': '40', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'lscpType', 'sourceSystemKey': 'LscpCams', 'value': 'Fixed Digital', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'siteLength', 'sourceSystemKey': 'LscpCams', 'value': '1.62', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'address', 'key': 'borough', 'sourceSystemKey': 'LscpCams', 'value': 'Enfield', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'address', 'key': 'authority', 'sourceSystemKey': 'LscpCams', 'value': 'Transport for London', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'road1', 'sourceSystemKey': 'LscpCams', 'value': 'A10 Great Cambridge Road', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'road2', 'sourceSystemKey': 'LscpCams', 'value': ' The Fairway', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'time', 'key': 'dateEstablished', 'sourceSystemKey': 'LscpCams', 'value': '01/08/2007', 'modified': '2022-10-27T15:08:23.643Z'}]",[],[],51.6232,-0.082055
LscpCams_449,/Place/LscpCams_449,A3211 Upper Thames Street by Lambeth Hill,SpeedCam,"[{'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'speedLimit', 'sourceSystemKey': 'LscpCams', 'value': '30', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'lscpType', 'sourceSystemKey': 'LscpCams', 'value': 'Fixed', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'siteLength', 'sourceSystemKey': 'LscpCams', 'value': '0.66', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'address', 'key': 'borough', 'sourceSystemKey': 'LscpCams', 'value': 'City of London', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'address', 'key': 'authority', 'sourceSystemKey': 'LscpCams', 'value': 'Transport for London', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'time', 'key': 'dateEstablished', 'sourceSystemKey': 'LscpCams', 'value': '25/04/2001', 'modified': '2022-10-27T15:08:23.643Z'}]",[],[],51.5113,-0.096719
LscpCams_443,/Place/LscpCams_443,A40 Western Avenue by Welland Gardens,SpeedCam,"[{'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'speedLimit', 'sourceSystemKey': 'LscpCams', 'value': '50', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'lscpType', 'sourceSystemKey': 'LscpCams', 'value': 'Fixed Digital', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'siteLength', 'sourceSystemKey': 'LscpCams', 'value': '1.38', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'address', 'key': 'borough', 'sourceSystemKey': 'LscpCams', 'value': 'Ealing', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'address', 'key': 'authority', 'sourceSystemKey': 'LscpCams', 'value': 'Ealing', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'road1', 'sourceSystemKey': 'LscpCams', 'value': 'A40 Western Avenue', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'road2', 'sourceSystemKey': 'LscpCams', 'value': ' Welland Gardens', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'time', 'key': 'dateEstablished', 'sourceSystemKey': 'LscpCams', 'value': '01/12/2007', 'modified': '2022-10-27T15:08:23.643Z'}]",[],[],51.5344,-0.335729
LscpCams_444,/Place/LscpCams_444,A404 Harrow Road by Berens Road,SpeedCam,"[{'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'speedLimit', 'sourceSystemKey': 'LscpCams', 'value': '30', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'lscpType', 'sourceSystemKey': 'LscpCams', 'value': 'Fixed Digital', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'siteLength', 'sourceSystemKey': 'LscpCams', 'value': '0.71', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'address', 'key': 'borough', 'sourceSystemKey': 'LscpCams', 'value': 'Brent', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'address', 'key': 'authority', 'sourceSystemKey': 'LscpCams', 'value': 'Brent', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'road1', 'sourceSystemKey': 'LscpCams', 'value': 'A404 Harrow Road', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'road2', 'sourceSystemKey': 'LscpCams', 'value': ' Berens Road', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'time', 'key': 'dateEstablished', 'sourceSystemKey': 'LscpCams', 'value': '01/12/2007', 'modified': '2022-10-27T15:08:23.643Z'}]",[],[],51.5291,-0.220167
LscpCams_445,/Place/LscpCams_445,A4090 Imperial Drive by Farm Avenue,SpeedCam,"[{'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'speedLimit', 'sourceSystemKey': 'LscpCams', 'value': '30', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'lscpType', 'sourceSystemKey': 'LscpCams', 'value': 'Fixed Digital', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'siteLength', 'sourceSystemKey': 'LscpCams', 'value': '0.52', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'address', 'key': 'borough', 'sourceSystemKey': 'LscpCams', 'value': 'Harrow', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'address', 'key': 'authority', 'sourceSystemKey': 'LscpCams', 'value': 'Harrow', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'road1', 'sourceSystemKey': 'LscpCams', 'value': 'A4090 Imperial Drive', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'road2', 'sourceSystemKey': 'LscpCams', 'value': ' Farm Avenue', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'time', 'key': 'dateEstablished', 'sourceSystemKey': 'LscpCams', 'value': '01/12/2007', 'modified': '2022-10-27T15:08:23.643Z'}]",[],[],51.5799,-0.366641
LscpCams_446,/Place/LscpCams_446,A503 Broad Lane by Stamford Road,SpeedCam,"[{'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'speedLimit', 'sourceSystemKey': 'LscpCams', 'value': '30', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'lscpType', 'sourceSystemKey': 'LscpCams', 'value': 'Fixed Digital', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'siteLength', 'sourceSystemKey': 'LscpCams', 'value': '0.57', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'address', 'key': 'borough', 'sourceSystemKey': 'LscpCams', 'value': 'Haringey', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'address', 'key': 'authority', 'sourceSystemKey': 'LscpCams', 'value': 'Haringey', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'road1', 'sourceSystemKey': 'LscpCams', 'value': 'A503 Broad Lane', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'road2', 'sourceSystemKey': 'LscpCams', 'value': ' Stamford Road', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'time', 'key': 'dateEstablished', 'sourceSystemKey': 'LscpCams', 'value': '01/12/2007', 'modified': '2022-10-27T15:08:23.643Z'}]",[],[],51.5846,-0.066488
LscpCams_441,/Place/LscpCams_441,A408 High Road by Pinn Close,SpeedCam,"[{'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'speedLimit', 'sourceSystemKey': 'LscpCams', 'value': '30', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'lscpType', 'sourceSystemKey': 'LscpCams', 'value': 'Fixed Digital', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'siteLength', 'sourceSystemKey': 'LscpCams', 'value': '1.28', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'address', 'key': 'borough', 'sourceSystemKey': 'LscpCams', 'value': 'Hillingdon', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'address', 'key': 'authority', 'sourceSystemKey': 'LscpCams', 'value': 'Hillingdon', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'road1', 'sourceSystemKey': 'LscpCams', 'value': 'A408 High Road', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'road2', 'sourceSystemKey': 'LscpCams', 'value': ' Pinn Close', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'time', 'key': 'dateEstablished', 'sourceSystemKey': 'LscpCams', 'value': '01/12/2007', 'modified': '2022-10-27T15:08:23.643Z'}]",[],[],51.5208,-0.480237
LscpCams_439,/Place/LscpCams_439,A312 Hampton Road West by Canterbury Road,SpeedCam,"[{'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'speedLimit', 'sourceSystemKey': 'LscpCams', 'value': '30', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'lscpType', 'sourceSystemKey': 'LscpCams', 'value': 'Fixed Digital', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'siteLength', 'sourceSystemKey': 'LscpCams', 'value': '0.85', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'address', 'key': 'borough', 'sourceSystemKey': 'LscpCams', 'value': 'Hounslow', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'address', 'key': 'authority', 'sourceSystemKey': 'LscpCams', 'value': 'Transport for London', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'road1', 'sourceSystemKey': 'LscpCams', 'value': 'A312 Hampton Road West', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'road2', 'sourceSystemKey': 'LscpCams', 'value': ' Canterbury Road', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'time', 'key': 'dateEstablished', 'sourceSystemKey': 'LscpCams', 'value': '01/12/2007', 'modified': '2022-10-27T15:08:23.643Z'}]",[],[],51.4395,-0.3859
LscpCams_430,/Place/LscpCams_430,- King Henry's Drive by Goldcrest Way,SpeedCam,"[{'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'speedLimit', 'sourceSystemKey': 'LscpCams', 'value': '30', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'lscpType', 'sourceSystemKey': 'LscpCams', 'value': 'Fixed Digital', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'siteLength', 'sourceSystemKey': 'LscpCams', 'value': '1.07', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'address', 'key': 'borough', 'sourceSystemKey': 'LscpCams', 'value': 'Croydon', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'address', 'key': 'authority', 'sourceSystemKey': 'LscpCams', 'value': 'Croydon', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'road1', 'sourceSystemKey': 'LscpCams', 'value': "" King Henry's Drive"", 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'camera', 'key': 'road2', 'sourceSystemKey': 'LscpCams', 'value': ' Goldcrest Road', 'modified': '2022-10-27T15:08:23.643Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'time', 'key': 'dateEstablished', 'sourceSystemKey': 'LscpCams', 'value': '01/11/2007', 'modified': '2022-10-27T15:08:23.643Z'}]",[],[],51.3481,-0.01039
